datum,zemepisna_sirka,kod_lokality,nazev_lokality,sirka_krunyre_mm
2016-08-07,39.1,DB,Delaware Bay NERR,13.5
2016-08-07,39.1,DB,Delaware Bay NERR,15
2016-08-07,39.1,DB,Delaware Bay NERR,14.3
2016-08-07,39.1,DB,Delaware Bay NERR,15.12
2016-08-07,39.1,DB,Delaware Bay NERR,14.25
2016-08-07,39.1,DB,Delaware Bay NERR,15.36
2016-08-07,39.1,DB,Delaware Bay NERR,14.26
2016-08-07,39.1,DB,Delaware Bay NERR,13.28
2016-08-07,39.1,DB,Delaware Bay NERR,11.46
2016-08-07,39.1,DB,Delaware Bay NERR,14.36
2016-08-07,39.1,DB,Delaware Bay NERR,15.89
2016-08-08,39.6,JC,Jacques Cousteau NERR,20.92
2016-08-08,39.6,JC,Jacques Cousteau NERR,18.36
2016-08-08,39.6,JC,Jacques Cousteau NERR,12.12
2016-08-08,39.6,JC,Jacques Cousteau NERR,12.84
2016-08-08,39.6,JC,Jacques Cousteau NERR,12.83
2016-08-08,39.6,JC,Jacques Cousteau NERR,17.56
2016-08-08,39.6,JC,Jacques Cousteau NERR,18.39
2016-08-08,39.6,JC,Jacques Cousteau NERR,15.33
2016-08-08,39.6,JC,Jacques Cousteau NERR,17.93
2016-08-08,39.6,JC,Jacques Cousteau NERR,18.35
2016-08-08,39.6,JC,Jacques Cousteau NERR,15.78
2016-08-08,39.6,JC,Jacques Cousteau NERR,16.03
2016-08-08,39.6,JC,Jacques Cousteau NERR,12.22
2016-08-08,39.6,JC,Jacques Cousteau NERR,9.58
2016-08-08,39.6,JC,Jacques Cousteau NERR,14.39
2016-08-08,39.6,JC,Jacques Cousteau NERR,12.74
2016-08-08,39.6,JC,Jacques Cousteau NERR,13.48
2016-08-08,39.6,JC,Jacques Cousteau NERR,15.52
2016-08-08,39.6,JC,Jacques Cousteau NERR,17.84
2016-08-08,39.6,JC,Jacques Cousteau NERR,17.91
2016-08-08,39.6,JC,Jacques Cousteau NERR,13.37
2016-08-08,39.6,JC,Jacques Cousteau NERR,16.96
2016-08-08,39.6,JC,Jacques Cousteau NERR,12.2
2016-08-08,39.6,JC,Jacques Cousteau NERR,12.14
2016-08-08,39.6,JC,Jacques Cousteau NERR,17.01
2016-08-08,39.6,JC,Jacques Cousteau NERR,14.62
2016-08-08,39.6,JC,Jacques Cousteau NERR,12.37
2016-08-08,39.6,JC,Jacques Cousteau NERR,19.2
2016-08-08,39.6,JC,Jacques Cousteau NERR,15.63
2016-08-08,39.6,JC,Jacques Cousteau NERR,14.62
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,15.52
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,15.26
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,15.62
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,16.75
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,15.96
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,12.26
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,11.01
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,13.47
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,16.05
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,16.35
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,16.04
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,15.43
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,16.29
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,13.95
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,17.75
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,12.08
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,12.03
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,11.56
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,15.73
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,17.4
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,11.3
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,12.03
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,17.08
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,12.24
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,11.34
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,19.47
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,13.5
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,15.8
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,17.04
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,18.06
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,12.75
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,11.78
2016-08-09,41.3,CT,Sixpenny Island - Connecticut,15.92
2016-08-09,41.6,NB,Narragansett Bay NERR,20.28
2016-07-28,41.6,NB,Narragansett Bay NERR,19.54
2016-07-28,41.6,NB,Narragansett Bay NERR,21.94
2016-07-28,41.6,NB,Narragansett Bay NERR,16.95
2016-07-28,41.6,NB,Narragansett Bay NERR,15.03
2016-07-28,41.6,NB,Narragansett Bay NERR,16.2
2016-07-28,41.6,NB,Narragansett Bay NERR,21.47
2016-07-28,41.6,NB,Narragansett Bay NERR,17.97
2016-07-28,41.6,NB,Narragansett Bay NERR,18.31
2016-07-28,41.6,NB,Narragansett Bay NERR,16.56
2016-07-28,41.6,NB,Narragansett Bay NERR,18.23
2016-07-28,41.6,NB,Narragansett Bay NERR,17.93
2016-07-28,41.6,NB,Narragansett Bay NERR,17.48
2016-07-28,41.6,NB,Narragansett Bay NERR,17.17
2016-07-28,41.6,NB,Narragansett Bay NERR,17.44
2016-07-28,41.6,NB,Narragansett Bay NERR,14.82
2016-07-28,41.6,NB,Narragansett Bay NERR,13.19
2016-07-28,41.6,NB,Narragansett Bay NERR,13.25
2016-07-28,41.6,NB,Narragansett Bay NERR,14.52
2016-07-28,41.6,NB,Narragansett Bay NERR,17.55
2016-07-28,41.6,NB,Narragansett Bay NERR,20.78
2016-07-28,41.6,NB,Narragansett Bay NERR,18.33
2016-07-28,41.6,NB,Narragansett Bay NERR,17.85
2016-07-28,41.6,NB,Narragansett Bay NERR,14.16
2016-07-28,41.6,NB,Narragansett Bay NERR,15.85
2016-07-28,41.6,NB,Narragansett Bay NERR,14.16
2016-07-28,41.6,NB,Narragansett Bay NERR,15.85
2016-07-28,41.6,NB,Narragansett Bay NERR,17.13
2016-07-28,41.6,NB,Narragansett Bay NERR,17.13
2016-07-25,41.9,CC,Cape Cod,17.39
2016-07-25,41.9,CC,Cape Cod,19.33
2016-07-25,41.9,CC,Cape Cod,18.84
2016-07-25,41.9,CC,Cape Cod,14.8
2016-07-25,41.9,CC,Cape Cod,18.07
2016-07-25,41.9,CC,Cape Cod,19.31
2016-07-25,41.9,CC,Cape Cod,17.1
2016-07-25,41.9,CC,Cape Cod,17.17
2016-07-25,41.9,CC,Cape Cod,18.39
2016-07-25,41.9,CC,Cape Cod,18.94
2016-07-25,41.9,CC,Cape Cod,15.58
2016-07-25,41.9,CC,Cape Cod,18.82
2016-07-25,41.9,CC,Cape Cod,16.25
2016-07-25,41.9,CC,Cape Cod,16.63
2016-07-25,41.9,CC,Cape Cod,15.54
2016-07-25,41.9,CC,Cape Cod,19.27
2016-07-25,41.9,CC,Cape Cod,14.4
2016-07-25,41.9,CC,Cape Cod,19.85
2016-07-25,41.9,CC,Cape Cod,16.74
2016-07-25,41.9,CC,Cape Cod,13.84
2016-07-25,41.9,CC,Cape Cod,16.54
2016-07-25,41.9,CC,Cape Cod,16.07
2016-07-25,41.9,CC,Cape Cod,15.28
2016-07-25,41.9,CC,Cape Cod,16.69
2016-07-25,41.9,CC,Cape Cod,16.79
2016-07-25,41.9,CC,Cape Cod,10.62
2016-07-25,41.9,CC,Cape Cod,15.76
2016-08-12,42.2,BC,Bare Cove Park,23.43
2016-08-12,42.2,BC,Bare Cove Park,17
2016-08-12,42.2,BC,Bare Cove Park,19.17
2016-08-12,42.2,BC,Bare Cove Park,16.35
2016-08-12,42.2,BC,Bare Cove Park,21.49
2016-08-12,42.2,BC,Bare Cove Park,22.02
2016-08-12,42.2,BC,Bare Cove Park,22.21
2016-08-12,42.2,BC,Bare Cove Park,22.44
2016-08-12,42.2,BC,Bare Cove Park,21.92
2016-08-12,42.2,BC,Bare Cove Park,19.8
2016-08-12,42.2,BC,Bare Cove Park,21.03
2016-08-12,42.2,BC,Bare Cove Park,18.41
2016-08-12,42.2,BC,Bare Cove Park,20.19
2016-08-12,42.2,BC,Bare Cove Park,17.97
2016-08-12,42.2,BC,Bare Cove Park,11.56
2016-08-12,42.2,BC,Bare Cove Park,19.58
2016-08-12,42.2,BC,Bare Cove Park,18.1
2016-08-12,42.2,BC,Bare Cove Park,15.22
2016-08-12,42.2,BC,Bare Cove Park,19.25
2016-08-12,42.2,BC,Bare Cove Park,19.99
2016-08-12,42.2,BC,Bare Cove Park,21.81
2016-08-12,42.2,BC,Bare Cove Park,21.39
2016-08-12,42.2,BC,Bare Cove Park,17.33
2016-08-12,42.2,BC,Bare Cove Park,11.39
2016-08-12,42.2,BC,Bare Cove Park,10.15
2016-08-12,42.2,BC,Bare Cove Park,12.92
2016-08-12,42.2,BC,Bare Cove Park,9.42
2016-08-12,42.2,BC,Bare Cove Park,12.74
2016-08-12,42.2,BC,Bare Cove Park,11.58
2016-08-12,42.2,BC,Bare Cove Park,10.1
2016-08-12,42.2,BC,Bare Cove Park,11.77
2016-08-12,42.2,BC,Bare Cove Park,11.51
2016-08-12,42.2,BC,Bare Cove Park,9.01
2016-08-12,42.2,BC,Bare Cove Park,10.04
2016-08-12,42.2,BC,Bare Cove Park,10.91
2016-08-12,42.2,BC,Bare Cove Park,10.24
2016-08-12,42.2,BC,Bare Cove Park,9.86
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,17.58
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,21.19
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,20.2
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,18.75
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,17.54
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,22.13
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,19.51
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,18.09
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,17.98
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,19.96
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,18.94
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,20.37
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,17.75
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,16.29
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,9.92
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,16.18
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,18.06
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,19.37
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,17.52
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,17.71
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,20.42
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,20.24
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,18.67
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,17.92
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,21.2
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,16.25
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,20.32
2016-08-13,42.7,PIE,Plum Island Estuary - West Creek,18.05
