eruption_id,geyser,date,time,cekani_min,webcam,duration
1469584,Old Faithful,2024-07-18,1117,99,Yes,236
1469603,Old Faithful,2024-07-18,1256,104,Yes,243
1469646,Old Faithful,2024-07-18,1440,65,Yes,103
1469650,Old Faithful,2024-07-18,1545,110,Yes,262
1469773,Old Faithful,2024-07-19,1419,63,Yes,117
1469784,Old Faithful,2024-07-19,1522,111,Yes,279
1469791,Old Faithful,2024-07-19,1713,66,Yes,124
1469851,Old Faithful,2024-07-20,1108,115,Yes,247
1470419,Old Faithful,2024-07-23,1334,95,Yes,238
1470439,Old Faithful,2024-07-23,1653,97,Yes,241
1470544,Old Faithful,2024-07-24,1407,101,Yes,265
1470601,Old Faithful,2024-07-25,1913,75,Yes,150
1470724,Old Faithful,2024-07-25,1135,93,Yes,215
1470740,Old Faithful,2024-07-25,1443,103,Yes,241
1470875,Old Faithful,2024-07-26,1358,94,Yes,267
1470879,Old Faithful,2024-07-26,1532,69,Yes,125
1470893,Old Faithful,2024-07-26,1641,110,Yes,290
1470995,Old Faithful,2024-07-27,1150,103,Yes,277
1471441,Old Faithful,2024-07-30,1356,107,Yes,239
1471447,Old Faithful,2024-07-30,1731,97,Yes,263
1471592,Old Faithful,2024-08-01,1205,66,Yes,114
1471605,Old Faithful,2024-08-01,1311,104,Yes,280
1471619,Old Faithful,2024-08-01,1455,70,Yes,167
1471723,Old Faithful,2024-08-02,1538,102,No,241
1472094,Old Faithful,2024-08-06,1940,66,No,120
1472331,Old Faithful,2024-08-08,1105,101,Yes,219
1472345,Old Faithful,2024-08-08,1246,91,Yes,245
1472350,Old Faithful,2024-08-08,1417,101,Yes,192
1472354,Old Faithful,2024-08-08,1558,101,Yes,232
1472473,Old Faithful,2024-08-09,1541,99,Yes,259
1472552,Old Faithful,2024-08-10,1857,79,Yes,119
1472620,Old Faithful,2024-08-10,1048,99,Yes,277
1472635,Old Faithful,2024-08-10,1227,68,Yes,109
1472976,Old Faithful,2024-08-12,1424,104,Yes,249
1473097,Old Faithful,2024-08-13,1443,101,Yes,240
1473137,Old Faithful,2024-08-14,1810,98,Yes,249
1473201,Old Faithful,2024-08-14,1041,110,Yes,278
1473207,Old Faithful,2024-08-14,1231,102,Yes,244
1473328,Old Faithful,2024-08-15,944,107,Yes,180
1473331,Old Faithful,2024-08-15,1131,66,Yes,105
1473334,Old Faithful,2024-08-15,1237,108,Yes,222
1473337,Old Faithful,2024-08-15,1425,76,Yes,137
1473352,Old Faithful,2024-08-15,1541,104,Yes,259
1473854,Old Faithful,2024-08-19,538,100,Yes,235
1473900,Old Faithful,2024-08-19,1407,98,Yes,237
1474010,Old Faithful,2024-08-20,1430,70,Yes,115
1474039,Old Faithful,2024-08-20,1727,100,Yes,251
1474121,Old Faithful,2024-08-21,1046,99,Yes,233
1474138,Old Faithful,2024-08-21,1336,116,Yes,290
1474541,Old Faithful,2024-08-24,1813,100,Yes,238
1475049,Old Faithful,2024-08-27,1044,106,Yes,254
1475209,Old Faithful,2024-08-28,1044,93,Yes,261
1475208,Old Faithful,2024-08-28,1217,78,Yes,126
1475228,Old Faithful,2024-08-28,1527,98,Yes,248
1475339,Old Faithful,2024-08-29,1028,109,Yes,216
1475349,Old Faithful,2024-08-29,1217,86,Yes,236
1475360,Old Faithful,2024-08-29,1343,104,Yes,269
1475548,Old Faithful,2024-08-30,1422,98,Yes,257
1475582,Old Faithful,2024-08-30,1752,88,Yes,223
